brand_code_uc,brand_descr,week_end,revenue
599631,MOBIL 1,2/24/2018,813336.69
599631,MOBIL 1,3/3/2018,1935722.1
599631,MOBIL 1,3/10/2018,1578263.86
599631,MOBIL 1,3/17/2018,2306779.76
599631,MOBIL 1,3/24/2018,1152152.4
599631,MOBIL 1,3/31/2018,294253.35
599631,MOBIL 1,4/7/2018,277082.96
599631,MOBIL 1,4/14/2018,280993.44
599631,MOBIL 1,4/21/2018,216221.84
599631,MOBIL 1,4/28/2018,242148.5
599631,MOBIL 1,5/5/2018,937615.15
599631,MOBIL 1,5/12/2018,1280588.71
599631,MOBIL 1,5/19/2018,1165744.89
599631,MOBIL 1,5/26/2018,1170230.91
599631,MOBIL 1,6/2/2018,983925.32
599631,MOBIL 1,6/9/2018,1322935.66
599631,MOBIL 1,6/16/2018,1141720.91
599631,MOBIL 1,6/23/2018,916295.03
599631,MOBIL 1,6/30/2018,322996.8
599631,MOBIL 1,7/7/2018,437272.92
599631,MOBIL 1,7/14/2018,467192.77
599631,MOBIL 1,7/21/2018,945600.24
599631,MOBIL 1,7/28/2018,754918.95
599631,MOBIL 1,8/4/2018,258704.03
599631,MOBIL 1,8/11/2018,234186.76
599631,MOBIL 1,8/18/2018,247105.47
599631,MOBIL 1,8/25/2018,227608.13
599631,MOBIL 1,9/1/2018,436403.53
599631,MOBIL 1,9/8/2018,1263195.11
599631,MOBIL 1,9/15/2018,2486360.41
599631,MOBIL 1,9/22/2018,1594593.32
599631,MOBIL 1,9/29/2018,2914429.01
599631,MOBIL 1,10/6/2018,248210.33
599631,MOBIL 1,10/13/2018,246077.71
599631,MOBIL 1,10/20/2018,265301.48
599631,MOBIL 1,10/27/2018,321989.98
599631,MOBIL 1,11/3/2018,286363.3
599631,MOBIL 1,11/10/2018,261141.5
599631,MOBIL 1,11/17/2018,380647.08
599631,MOBIL 1,11/24/2018,1194971.94
599631,MOBIL 1,12/1/2018,1563646.11
599631,MOBIL 1,12/8/2018,2128184.23
599631,MOBIL 1,12/15/2018,1717502.22
599631,MOBIL 1,12/22/2018,1900079.38
599631,MOBIL 1,12/29/2018,357742.54
609623,OFF!,1/6/2018,118842.65
609623,OFF!,1/13/2018,130594.15
609623,OFF!,1/20/2018,119070.23
609623,OFF!,1/27/2018,129019.14
609623,OFF!,2/3/2018,148213.17
609623,OFF!,2/10/2018,173257.36
609623,OFF!,2/17/2018,206664.78
609623,OFF!,2/24/2018,263355.23
609623,OFF!,3/3/2018,309016.82
609623,OFF!,3/10/2018,339866.11
609623,OFF!,3/17/2018,351039.92
609623,OFF!,3/24/2018,431390.86
609623,OFF!,3/31/2018,512963.31
609623,OFF!,4/7/2018,468578.39
609623,OFF!,4/14/2018,568307.6
609623,OFF!,4/21/2018,627725.93
609623,OFF!,4/28/2018,897908.26
609623,OFF!,5/5/2018,1625091.19
609623,OFF!,5/12/2018,2132389.62
609623,OFF!,5/19/2018,2220465.57
609623,OFF!,5/26/2018,4077170.34
609623,OFF!,6/2/2018,4866537.8
609623,OFF!,6/9/2018,4104939.37
609623,OFF!,6/16/2018,4177903.57
609623,OFF!,6/23/2018,4012304.11
609623,OFF!,6/30/2018,4358112.39
609623,OFF!,7/7/2018,5991302.15
609623,OFF!,7/14/2018,4038928.75
609623,OFF!,7/21/2018,3048634.15
609623,OFF!,7/28/2018,2446895.36
609623,OFF!,8/4/2018,2437640.53
609623,OFF!,8/11/2018,2450648.09
609623,OFF!,8/18/2018,2145476.27
609623,OFF!,8/25/2018,1898508.78
609623,OFF!,9/1/2018,1945727.32
609623,OFF!,9/8/2018,1734029.98
